Week,face mask,Hand sanitizer,Quarantine,COVID-19 testing
08/12/2019,2,1,<1,<1
15/12/2019,2,1,<1,<1
22/12/2019,3,1,<1,<1
29/12/2019,3,1,<1,<1
05/01/2020,3,1,<1,<1
12/01/2020,3,1,<1,<1
19/01/2020,4,1,1,<1
26/01/2020,11,3,3,<1
02/02/2020,7,3,3,<1
09/02/2020,5,2,3,<1
16/02/2020,5,2,2,<1
23/02/2020,14,8,4,1
01/03/2020,11,52,8,3
08/03/2020,10,84,31,13
15/03/2020,15,55,86,24
22/03/2020,23,37,50,20
29/03/2020,75,36,44,16
05/04/2020,83,30,38,15
12/04/2020,52,22,40,15
19/04/2020,44,19,37,16
26/04/2020,36,16,34,17
03/05/2020,33,15,29,18
10/05/2020,32,14,28,19
17/05/2020,29,13,22,18
24/05/2020,25,11,18,19
31/05/2020,19,8,13,19
07/06/2020,22,8,12,24
14/06/2020,28,8,11,35
21/06/2020,30,15,13,61
28/06/2020,30,9,15,81
05/07/2020,28,11,14,78
12/07/2020,27,13,15,65
19/07/2020,24,14,12,53
26/07/2020,21,12,12,43
02/08/2020,19,10,12,38
09/08/2020,18,8,10,32
16/08/2020,14,5,9,26
23/08/2020,12,5,9,25
30/08/2020,11,4,7,24
06/09/2020,12,4,8,23
13/09/2020,11,4,8,25
20/09/2020,12,3,6,27
27/09/2020,11,3,8,33
04/10/2020,12,3,7,38
11/10/2020,11,3,6,35
18/10/2020,11,3,5,35
25/10/2020,12,4,7,39
01/11/2020,7,2,5,37
08/11/2020,10,3,8,54
15/11/2020,11,4,10,98
22/11/2020,9,3,10,92
29/11/2020,9,3,15,100
