Week,face_mask,Hand_sanitizer,Quarantine,COVID_19_testing
08/12/2019,2,1,<1,<1
15/12/2019,2,1,<1,<1
22/12/2019,2,1,<1,<1
29/12/2019,2,1,<1,<1
05/01/2020,2,1,<1,<1
12/01/2020,2,1,<1,<1
19/01/2020,3,1,1,<1
26/01/2020,4,2,2,<1
02/02/2020,4,1,1,<1
09/02/2020,3,1,1,<1
16/02/2020,3,1,1,<1
23/02/2020,8,3,2,1
01/03/2020,7,25,4,1
08/03/2020,8,59,21,10
15/03/2020,10,42,64,21
22/03/2020,17,29,35,18
29/03/2020,50,32,34,15
05/04/2020,52,22,25,15
12/04/2020,37,19,30,12
19/04/2020,55,18,29,17
26/04/2020,51,15,24,16
03/05/2020,34,13,20,18
10/05/2020,26,11,20,19
17/05/2020,22,11,16,19
24/05/2020,19,9,13,15
31/05/2020,15,6,7,14
07/06/2020,14,6,8,13
14/06/2020,16,7,6,17
21/06/2020,19,10,8,24
28/06/2020,22,7,17,34
05/07/2020,23,8,18,43
12/07/2020,25,8,15,43
19/07/2020,23,13,16,36
26/07/2020,23,12,22,39
02/08/2020,20,9,16,42
09/08/2020,19,5,13,39
16/08/2020,15,6,12,37
23/08/2020,15,4,10,35
30/08/2020,11,3,10,32
06/09/2020,11,4,10,27
13/09/2020,11,2,8,27
20/09/2020,9,3,9,28
27/09/2020,9,2,9,33
04/10/2020,10,2,11,42
11/10/2020,10,3,10,48
18/10/2020,10,2,10,56
25/10/2020,11,3,11,70
01/11/2020,6,2,9,75
08/11/2020,8,3,13,96
15/11/2020,9,3,10,100
22/11/2020,9,2,9,66
29/11/2020,7,2,10,54
